time, vx, vy
159, 5.33907e-14, 6.42607e-14
160, 5.37276e-14, 6.46672e-14
161, 5.40646e-14, 6.50737e-14
162, 5.44017e-14, 6.54804e-14
163, 5.47388e-14, 6.58871e-14
164, 5.5076e-14, 6.6294e-14
165, 5.54132e-14, 6.67009e-14
166, 5.57505e-14, 6.71079e-14
167, 5.60879e-14, 6.7515e-14
168, 5.64253e-14, 6.79222e-14
169, 5.67628e-14, 6.83295e-14
170, 5.71004e-14, 6.87369e-14
171, 5.7438e-14, 6.91444e-14
172, 5.77757e-14, 6.9552e-14
173, 5.81135e-14, 6.99597e-14
174, 5.84513e-14, 7.03675e-14
175, 5.87892e-14, 7.07754e-14
176, 5.91272e-14, 7.11834e-14
177, 5.94652e-14, 7.15915e-14
178, 5.98033e-14, 7.19997e-14
179, 6.01415e-14, 7.2408e-14
180, 6.04797e-14, 7.28164e-14
181, 6.0818e-14, 7.32249e-14
182, 6.11564e-14, 7.36335e-14
183, 6.14949e-14, 7.40422e-14
184, 6.18334e-14, 7.44511e-14
185, 6.2172e-14, 7.486e-14
186, 6.25106e-14, 7.5269e-14
187, 6.28494e-14, 7.56782e-14
188, 6.31882e-14, 7.60874e-14
189, 6.3527e-14, 7.64968e-14
190, 6.3866e-14, 7.69062e-14
191, 6.4205e-14, 7.73158e-14
192, 6.45441e-14, 7.77255e-14
193, 6.48833e-14, 7.81353e-14
194, 6.52226e-14, 7.85452e-14
195, 6.55619e-14, 7.89552e-14
196, 6.59013e-14, 7.93654e-14
197, 6.62408e-14, 7.97756e-14
198, 6.65803e-14, 8.0186e-14
199, 6.692e-14, 8.05965e-14
200, 6.72597e-14, 8.10071e-14
201, 6.75995e-14, 8.14178e-14
202, 6.79393e-14, 8.18286e-14
203, 6.8645e-14, 8.22355e-14
204, 6.93508e-14, 8.26425e-14
205, 7.00569e-14, 8.30497e-14
206, 7.07632e-14, 8.3457e-14
207, 7.14697e-14, 8.38645e-14
208, 7.21764e-14, 8.42721e-14
209, 7.28834e-14, 8.46799e-14
210, 7.35906e-14, 8.50878e-14
211, 7.4298e-14, 8.54958e-14
212, 7.50056e-14, 8.5904e-14
213, 7.57135e-14, 8.63124e-14
214, 7.64216e-14, 8.67209e-14
215, 7.71299e-14, 8.71295e-14
216, 7.78385e-14, 8.75383e-14
217, 7.85473e-14, 8.79473e-14
218, 7.92563e-14, 8.83564e-14
219, 7.99656e-14, 8.87656e-14
220, 8.06751e-14, 8.9175e-14
221, 8.13848e-14, 8.95846e-14
222, 8.20948e-14, 8.99944e-14
223, 8.28051e-14, 9.04043e-14
224, 8.35156e-14, 9.08143e-14
225, 8.42263e-14, 9.12245e-14
226, 8.49373e-14, 9.16349e-14
227, 8.56486e-14, 9.20455e-14
228, 8.63601e-14, 9.24562e-14
229, 8.70718e-14, 9.28671e-14
230, 8.77839e-14, 9.32781e-14
231, 8.84961e-14, 9.36894e-14
232, 8.92087e-14, 9.41008e-14
233, 8.99215e-14, 9.45123e-14
234, 9.06345e-14, 9.49241e-14
235, 9.13479e-14, 9.5336e-14
236, 9.20615e-14, 9.57481e-14
237, 9.27754e-14, 9.61603e-14
238, 9.34895e-14, 9.65728e-14
239, 9.42039e-14, 9.69854e-14
240, 9.49186e-14, 9.73982e-14
241, 9.56336e-14, 9.78112e-14
242, 9.63488e-14, 9.82244e-14
243, 9.70643e-14, 9.86377e-14
244, 9.77801e-14, 9.90513e-14
245, 9.84962e-14, 9.9465e-14
246, 9.92126e-14, 9.98789e-14
247, 9.99293e-14, 1.00293e-13
248, 1.00646e-13, 1.00707e-13
249, 1.01363e-13, 1.01122e-13
250, 1.02081e-13, 1.01537e-13
251, 1.02799e-13, 1.01951e-13
252, 1.03517e-13, 1.02366e-13
253, 1.04235e-13, 1.02782e-13
254, 1.04954e-13, 1.03197e-13
255, 1.05673e-13, 1.03613e-13
256, 1.06392e-13, 1.04029e-13
257, 1.07112e-13, 1.04445e-13
258, 1.07832e-13, 1.04861e-13
259, 1.08552e-13, 1.05278e-13
260, 1.09273e-13, 1.05694e-13
261, 1.09994e-13, 1.06111e-13
262, 1.10715e-13, 1.06528e-13
263, 1.11436e-13, 1.06946e-13
264, 1.12158e-13, 1.07363e-13
265, 1.1288e-13, 1.07781e-13
266, 1.13603e-13, 1.08199e-13
267, 1.14326e-13, 1.08617e-13
268, 1.15049e-13, 1.09035e-13
269, 1.15772e-13, 1.09454e-13
270, 1.16496e-13, 1.09873e-13
271, 1.1722e-13, 1.10292e-13
272, 1.17944e-13, 1.10711e-13
273, 1.18669e-13, 1.1113e-13
274, 1.19394e-13, 1.1155e-13
275, 1.2012e-13, 1.1197e-13
276, 1.20845e-13, 1.1239e-13
277, 1.21571e-13, 1.12811e-13
278, 1.22298e-13, 1.13231e-13
279, 1.23025e-13, 1.13652e-13
280, 1.23752e-13, 1.14073e-13
281, 1.24479e-13, 1.14494e-13
282, 1.25207e-13, 1.14916e-13
283, 1.25935e-13, 1.15338e-13
