0, 0.170036
1, 0.0039947
2, 0.0035126
3, 0.0026511
4, 0.0015327
5, 0.0014712
6, 0.0014245
7, 0.0014015
8, 0.0015026
9, 0.001446
10, 0.0013909
11, 0.0013819
12, 0.0016531
13, 0.0014951
14, 0.0013979
15, 0.0014396
16, 0.0014046
17, 0.0013554
18, 0.0013805
19, 0.0015695
20, 0.0015395
21, 0.0014474
22, 0.0014356
23, 0.0014762
24, 0.0016632
25, 0.0015256
26, 0.001429
27, 0.0014343
28, 0.0015024
29, 0.0014169
30, 0.0014495
31, 0.0014918
32, 0.001429
33, 0.0014149
34, 0.001486
35, 0.0015071
36, 0.0016062
37, 0.0015391
38, 0.0014996
39, 0.001501
40, 0.0016096
41, 0.0014266
42, 0.0015096
43, 0.0015644
44, 0.0016123
45, 0.0015679
46, 0.001997
47, 0.0015836
48, 0.0015271
49, 0.0014677
50, 0.001672
51, 0.0014446
52, 0.0015226
53, 0.0016076
54, 0.0014131
55, 0.0015446
56, 0.001801
57, 0.0016132
58, 0.0015822
59, 0.0014964
60, 0.0016026
61, 0.0015328
62, 0.0016954
63, 0.0015507
64, 0.0015807
65, 0.0015153
66, 0.0017701
67, 0.0019346
68, 0.0017068
69, 0.0016649
70, 0.0014126
71, 0.0014689
72, 0.0015138
73, 0.001378
74, 0.0015177
75, 0.0014491
76, 0.0014635
77, 0.0017205
78, 0.0014961
79, 0.0018153
80, 0.0014627
81, 0.0013899
82, 0.0014337
83, 0.0013971
84, 0.0014104
85, 0.001416
86, 0.0012722
87, 0.0015303
88, 0.0016339
89, 0.0015472
90, 0.0019305
91, 0.0014769
92, 0.0014854
93, 0.0014639
94, 0.0015026
95, 0.0014106
96, 0.0015833
97, 0.0014984
98, 0.0014344
99, 0.0015646
100, 0.0016248
