0, 7.54834
1, 627.746
2, 1968.5
3, 433.069
4, 1396.45
5, 2186.27
6, 1282.22
7, 2191.54
8, 2202.64
9, 407.697
10, 1044.17
11, 2119.54
12, 2437.84
13, 1243.78
14, 1258.18
15, 2724.05
16, 3003
17, 3313.45
18, 3355.7
19, 2525.89
20, 2407.9
21, 2222.22
22, 2499.38
23, 1769.29
24, 4589.26
25, 2007.23
26, 2342.47
27, 2271.69
28, 3588.09
29, 2750.28
30, 2861.23
31, 2866.97
32, 3330
33, 1835.2
34, 1875.12
35, 2257.85
36, 2701.24
37, 2365.18
38, 2488.8
39, 1880.41
40, 2569.37
41, 2066.54
42, 2408.48
43, 2942.91
44, 1369.49
45, 1828.49
46, 2341.92
47, 1428.98
48, 2896.03
49, 3065.6
50, 1846.72
51, 2047.08
52, 2426.6
53, 2604.85
54, 3711.95
55, 3568.88
56, 4111.84
57, 2732.99
58, 1791.15
59, 1827.15
60, 4486.32
61, 2092.05
62, 2886
63, 2485.71
64, 2639.92
65, 4076.64
66, 4293.69
67, 2582.64
68, 2999.4
69, 1555.94
70, 2059.73
71, 3314.55
72, 2198.77
73, 1910.58
74, 2562.79
75, 3567.61
76, 3193.87
77, 3517.41
78, 3617.95
79, 3303.6
80, 1030.29
81, 2833.66
82, 3192.85
83, 1849.8
84, 1560.55
85, 1621.01
86, 2757.86
87, 2577.32
88, 2524.61
89, 2266.55
90, 3019.32
91, 2822.47
92, 1620.75
93, 2552.97
94, 2085.07
95, 2480.77
96, 2449.18
97, 2424.83
98, 2509.41
99, 2895.19
100, 3543.59
101, 3227.89
102, 2630.19
103, 2141.79
104, 2390.63
105, 1592.1
106, 2658.16
107, 2800.34
108, 2783.19
109, 2244.17
110, 1768.35
111, 2320.19
112, 2467.92
113, 3110.42
114, 2977.96
115, 1675.04
116, 2706.36
117, 2575.33
118, 1650.98
119, 2221.24
120, 2450.98
121, 1949.7
122, 2135.84
123, 2433.68
124, 3745.32
125, 2206.53
126, 1308.9
127, 2137.21
128, 3607.5
129, 2926.54
130, 2059.31
131, 4868.55
132, 2570.03
133, 2258.36
134, 2450.98
135, 2903.6
136, 3224.77
137, 3015.68
138, 3481.89
139, 3150.6
140, 1516.99
141, 2567.39
142, 2641.31
143, 3385.24
144, 2191.54
145, 2980.63
146, 2835.27
147, 3372.68
148, 1859.77
149, 2579.31
150, 2411.38
151, 2256.32
152, 2355.16
153, 1941.37
154, 1881.47
155, 3500.18
156, 2955.08
157, 3010.23
158, 2750.28
159, 2326.66
160, 2865.33
161, 2297.79
162, 1551.35
163, 2329.92
164, 2307.87
165, 1546.55
166, 2130.83
167, 1562.01
168, 1978.63
169, 2250.73
170, 3174.6
171, 2663.12
172, 2698.33
173, 3143.67
174, 1766.78
175, 2688.89
176, 1927.15
177, 3217.5
178, 3384.09
179, 2025.11
180, 2601.46
181, 3301.42
182, 3117.21
183, 3083.56
184, 3095.02
185, 2181.5
186, 2462.45
187, 1667.78
188, 2780.87
189, 2441.41
190, 2540.01
191, 1996.01
192, 2824.86
193, 2826.46
194, 2971.77
195, 3177.63
196, 2704.9
197, 2629.5
198, 1880.76
199, 1905.12
200, 3707.82
201, 1548.23
202, 2114.16
203, 2339.73
204, 2317.5
205, 2529.08
206, 1871.26
207, 1673.08
208, 2721.09
209, 1498.35
210, 2178.17
211, 4814.64
212, 2000.8
213, 2724.05
214, 2929.12
215, 2988.64
216, 4249.89
217, 2977.96
218, 4277.16
219, 2262.96
220, 2472.19
221, 1191.04
222, 2991.33
223, 2047.92
224, 2452.18
225, 2948.98
226, 2598.08
227, 3348.96
228, 2611.65
229, 2480.77
230, 1774.94
231, 3346.72
232, 3900.16
233, 2057.19
234, 2717.39
235, 2862.05
236, 2581.31
237, 2628.12
238, 2744.24
239, 4000
240, 2610.28
241, 1309.59
242, 2273.76
243, 1884.3
244, 2334.27
245, 1763.98
246, 1631.06
247, 1834.53
248, 2324.5
249, 2604.85
250, 3245.7
251, 3254.15
252, 2546.47
253, 1996.01
254, 1788.59
255, 3293.81
256, 1910.58
257, 1397.04
258, 2862.87
259, 3611.41
260, 4235.49
